Rock1,Rock2,Human Rating,ChatGPT Rating
I_Andesite_06,I_Basalt_02,5.5294,2.368146620456056
I_Andesite_06,I_Diorite_10,6.7059,7.213153463987293
I_Andesite_06,I_Gabbro_03,6.8824,7.654283370251543
I_Andesite_06,I_Granite_11,5.6324,3.4934050986890766
I_Andesite_06,I_Obsidian_09,3.7206,1.002669107482398
I_Andesite_06,I_Pegmatite_01,3.25,1.0474765610071743
I_Andesite_06,I_Peridotite_11,5.1765,2.1168750505892606
I_Andesite_06,I_Pumice_06,3.1912,1.0116515002973694
I_Andesite_06,I_Rhyolite_11,5.5441,2.7955294951623366
I_Andesite_06,M_Amphibolite_07,7.4118,6.667090140853656
I_Andesite_06,M_Anthracite_12,4.0735,1.003491568743172
I_Andesite_06,M_Gneiss_07,3.6912,1.5857455241288245
I_Andesite_06,M_Hornfels_08,5.6324,2.8835230872526436
I_Andesite_06,M_Marble_04,4.4118,2.4345280736518427
I_Andesite_06,M_Migmatite_08,5.25,4.709112640929287
I_Andesite_06,M_Phyllite_09,4.2059,1.752799410055993
I_Andesite_06,M_Quartzite_09,6.4118,5.652138597586899
I_Andesite_06,M_Schist_02,6.7206,3.9035245611543568
I_Andesite_06,M_Slate_09,4.5147,1.8677919679358885
I_Andesite_06,S_Bituminous Coal_10,4.0294,1.0030221824880634
I_Andesite_06,S_Breccia_11,4.2059,1.0322592621592948
I_Andesite_06,S_Chert_03,2.7941,1.0401817261306285
I_Andesite_06,S_Conglomerate_08,3.4118,1.5554365143944722
I_Andesite_06,S_Dolomite_12,4.1912,1.3961545417270227
I_Andesite_06,S_Micrite_09,2.8676,1.9648619505966993
I_Andesite_06,S_Rock Gypsum_02,3.3676,1.0057477119693268
I_Andesite_06,S_Rock Salt_12,5.0,1.0515244244786115
I_Andesite_06,S_Sandstone_12,2.4118,1.008035651345411
I_Andesite_06,S_Shale_04,4.7206,1.3773824349606818
I_Basalt_02,I_Diorite_10,3.7353,1.0970968347248482
I_Basalt_02,I_Gabbro_03,5.8382,2.1088710381593865
I_Basalt_02,I_Granite_11,2.9559,1.0029722464224868
I_Basalt_02,I_Obsidian_09,5.3676,1.3632308020524657
I_Basalt_02,I_Pegmatite_01,2.8382,1.0079394214483282
I_Basalt_02,I_Peridotite_11,3.9706,1.2233405716077388
I_Basalt_02,I_Pumice_06,3.1765,1.0115070169892693
I_Basalt_02,I_Rhyolite_11,6.5441,3.1243476417122946
I_Basalt_02,M_Amphibolite_07,5.5735,2.436060320971671
I_Basalt_02,M_Anthracite_12,5.4706,2.6330919556792254
I_Basalt_02,M_Gneiss_07,4.5882,1.3474958548377471
I_Basalt_02,M_Hornfels_08,7.0294,7.545908586723685
I_Basalt_02,M_Marble_04,4.9853,1.0713934521506117
I_Basalt_02,M_Migmatite_08,5.0294,2.6742943539105064
I_Basalt_02,M_Phyllite_09,5.0441,3.817879081328634
I_Basalt_02,M_Quartzite_09,5.9706,1.9424536092840237
I_Basalt_02,M_Schist_02,5.0,3.112381246087672
I_Basalt_02,M_Slate_09,5.4265,3.182650036449469
I_Basalt_02,S_Bituminous Coal_10,5.7353,3.0379755654960188
I_Basalt_02,S_Breccia_11,2.6765,1.0006600878830896
I_Basalt_02,S_Chert_03,3.1324,1.0103868841913446
I_Basalt_02,S_Conglomerate_08,2.6029,1.0867238814980769
I_Basalt_02,S_Dolomite_12,5.75,1.2416636191206365
I_Basalt_02,S_Micrite_09,6.1618,2.8025151183127996
I_Basalt_02,S_Rock Gypsum_02,4.6765,1.001240801248338
I_Basalt_02,S_Rock Salt_12,3.8824,1.0063186973114644
I_Basalt_02,S_Sandstone_12,3.2941,1.0122342434831642
I_Basalt_02,S_Shale_04,6.7353,6.9440824641468994
I_Diorite_10,I_Gabbro_03,6.8382,8.155175424842758
I_Diorite_10,I_Granite_11,6.5735,7.7032725623054095
I_Diorite_10,I_Obsidian_09,3.1176,1.0005140767474394
I_Diorite_10,I_Pegmatite_01,4.4559,1.3464401442859144
I_Diorite_10,I_Peridotite_11,5.3529,2.2628302880056923
I_Diorite_10,I_Pumice_06,3.8529,1.006437010531148
I_Diorite_10,I_Rhyolite_11,3.5735,1.496831765087234
I_Diorite_10,M_Amphibolite_07,6.3382,4.2833483393356735
I_Diorite_10,M_Anthracite_12,3.4265,1.003323258030677
I_Diorite_10,M_Gneiss_07,4.8529,2.2813042370975847
I_Diorite_10,M_Hornfels_08,4.1324,1.1006346307078445
I_Diorite_10,M_Marble_04,3.3235,2.5242750923292725
I_Diorite_10,M_Migmatite_08,5.7941,4.732523395027957
I_Diorite_10,M_Phyllite_09,5.6912,1.9655665991656055
I_Diorite_10,M_Quartzite_09,4.9559,5.860376056164613
I_Diorite_10,M_Schist_02,5.8676,3.428640583917773
I_Diorite_10,M_Slate_09,3.1765,1.2766407245018654
I_Diorite_10,S_Bituminous Coal_10,3.7206,1.0005824949895463
I_Diorite_10,S_Breccia_11,3.2353,1.0154941520631047
I_Diorite_10,S_Chert_03,3.2353,1.1319404580373533
I_Diorite_10,S_Conglomerate_08,4.5,1.4255695496922043
I_Diorite_10,S_Dolomite_12,4.6176,1.563266232378798
I_Diorite_10,S_Micrite_09,3.7353,1.296458306260993
I_Diorite_10,S_Rock Gypsum_02,3.2647,1.0330807791598726
I_Diorite_10,S_Rock Salt_12,3.75,1.0574683886428005
I_Diorite_10,S_Sandstone_12,2.6471,1.0252577525127964
I_Diorite_10,S_Shale_04,3.7059,1.019380707193749
I_Gabbro_03,I_Granite_11,6.0882,6.339631720793744
I_Gabbro_03,I_Obsidian_09,3.8971,1.000505847439889
I_Gabbro_03,I_Pegmatite_01,4.0294,1.3303700249446189
I_Gabbro_03,I_Peridotite_11,4.7206,1.3923236146923912
I_Gabbro_03,I_Pumice_06,3.3971,1.000837641804189
I_Gabbro_03,I_Rhyolite_11,4.0735,1.7436934952104275
