index,Rock1,Rock2,Rock1 Index,Rock2 Index,Human Rating,ChatGPT Rating
0,I_Andesite_06,I_Basalt_02,0,1,5.5294,7.0
1,I_Andesite_06,I_Diorite_10,0,2,6.7059,8.0
2,I_Andesite_06,I_Gabbro_03,0,3,6.8824,7.0
3,I_Andesite_06,I_Granite_11,0,4,5.6324,7.0
4,I_Andesite_06,I_Obsidian_09,0,5,3.7206,3.0
5,I_Andesite_06,I_Pegmatite_01,0,6,3.25,3.0
6,I_Andesite_06,I_Peridotite_11,0,7,5.1765,4.0
7,I_Andesite_06,I_Pumice_06,0,8,3.1912,3.0
8,I_Andesite_06,I_Rhyolite_11,0,9,5.5441,6.0
9,I_Andesite_06,M_Amphibolite_07,0,10,7.4118,8.0
10,I_Andesite_06,M_Anthracite_12,0,11,4.0735,3.0
11,I_Andesite_06,M_Gneiss_07,0,12,3.6912,4.0
12,I_Andesite_06,M_Hornfels_08,0,13,5.6324,6.0
13,I_Andesite_06,M_Marble_04,0,14,4.4118,4.0
14,I_Andesite_06,M_Migmatite_08,0,15,5.25,7.0
15,I_Andesite_06,M_Phyllite_09,0,16,4.2059,3.0
16,I_Andesite_06,M_Quartzite_09,0,17,6.4118,6.0
17,I_Andesite_06,M_Schist_02,0,18,6.7206,6.0
18,I_Andesite_06,M_Slate_09,0,19,4.5147,4.0
19,I_Andesite_06,S_Bituminous Coal_10,0,20,4.0294,3.0
20,I_Andesite_06,S_Breccia_11,0,21,4.2059,4.0
21,I_Andesite_06,S_Chert_03,0,22,2.7941,3.0
22,I_Andesite_06,S_Conglomerate_08,0,23,3.4118,4.0
23,I_Andesite_06,S_Dolomite_12,0,24,4.1912,3.0
24,I_Andesite_06,S_Micrite_09,0,25,2.8676,3.0
25,I_Andesite_06,S_Rock Gypsum_02,0,26,3.3676,4.0
26,I_Andesite_06,S_Rock Salt_12,0,27,5.0,3.0
27,I_Andesite_06,S_Sandstone_12,0,28,2.4118,3.0
28,I_Andesite_06,S_Shale_04,0,29,4.7206,3.0
29,I_Basalt_02,I_Diorite_10,1,2,3.7353,3.0
30,I_Basalt_02,I_Gabbro_03,1,3,5.8382,6.0
31,I_Basalt_02,I_Granite_11,1,4,2.9559,3.0
32,I_Basalt_02,I_Obsidian_09,1,5,5.3676,7.0
33,I_Basalt_02,I_Pegmatite_01,1,6,2.8382,4.0
34,I_Basalt_02,I_Peridotite_11,1,7,3.9706,6.0
35,I_Basalt_02,I_Pumice_06,1,8,3.1765,3.0
36,I_Basalt_02,I_Rhyolite_11,1,9,6.5441,3.0
37,I_Basalt_02,M_Amphibolite_07,1,10,5.5735,7.0
38,I_Basalt_02,M_Anthracite_12,1,11,5.4706,7.0
39,I_Basalt_02,M_Gneiss_07,1,12,4.5882,4.0
40,I_Basalt_02,M_Hornfels_08,1,13,7.0294,8.0
41,I_Basalt_02,M_Marble_04,1,14,4.9853,3.0
42,I_Basalt_02,M_Migmatite_08,1,15,5.0294,6.0
43,I_Basalt_02,M_Phyllite_09,1,16,5.0441,7.0
44,I_Basalt_02,M_Quartzite_09,1,17,5.9706,3.0
45,I_Basalt_02,M_Schist_02,1,18,5.0,6.0
46,I_Basalt_02,M_Slate_09,1,19,5.4265,6.0
47,I_Basalt_02,S_Bituminous Coal_10,1,20,5.7353,7.0
48,I_Basalt_02,S_Breccia_11,1,21,2.6765,3.0
49,I_Basalt_02,S_Chert_03,1,22,3.1324,3.0
50,I_Basalt_02,S_Conglomerate_08,1,23,2.6029,3.0
51,I_Basalt_02,S_Dolomite_12,1,24,5.75,3.0
52,I_Basalt_02,S_Micrite_09,1,25,6.1618,6.0
53,I_Basalt_02,S_Rock Gypsum_02,1,26,4.6765,3.0
54,I_Basalt_02,S_Rock Salt_12,1,27,3.8824,3.0
55,I_Basalt_02,S_Sandstone_12,1,28,3.2941,3.0
