index,Rock1,Rock2,Model Rating
0,I_Andesite_06,I_Basalt_02,7.25
1,I_Andesite_06,I_Diorite_10,7.25
2,I_Andesite_06,I_Gabbro_03,7.25
3,I_Andesite_06,I_Granite_11,7.75
4,I_Andesite_06,I_Obsidian_09,7.33
5,I_Andesite_06,I_Pegmatite_01,7.8
6,I_Andesite_06,I_Peridotite_11,7.32
7,I_Andesite_06,I_Pumice_06,7.25
8,I_Andesite_06,I_Rhyolite_11,7.25
9,I_Andesite_06,M_Amphibolite_07,7.25
10,I_Andesite_06,M_Anthracite_12,7.25
11,I_Andesite_06,M_Gneiss_07,7.25
12,I_Andesite_06,M_Hornfels_08,7.25
13,I_Andesite_06,M_Marble_04,7.25
14,I_Andesite_06,M_Migmatite_08,7.25
15,I_Andesite_06,M_Phyllite_09,7.3
16,I_Andesite_06,M_Quartzite_09,7.5
17,I_Andesite_06,M_Schist_02,7.33
18,I_Andesite_06,M_Slate_09,7.8
19,I_Andesite_06,S_Bituminous Coal_10,7.4
20,I_Andesite_06,S_Breccia_11,8.25
21,I_Andesite_06,S_Chert_03,7.25
22,I_Andesite_06,S_Conglomerate_08,7.8
23,I_Andesite_06,S_Dolomite_12,7.43
24,I_Andesite_06,S_Micrite_09,7.25
25,I_Andesite_06,S_Rock Gypsum_02,7.25
26,I_Andesite_06,S_Rock Salt_12,7.6
27,I_Andesite_06,S_Sandstone_12,7.25
28,I_Andesite_06,S_Shale_04,7.25
29,I_Basalt_02,I_Diorite_10,7.8
30,I_Basalt_02,I_Gabbro_03,7.25
31,I_Basalt_02,I_Granite_11,7.33
32,I_Basalt_02,I_Obsidian_09,6.25
33,I_Basalt_02,I_Pegmatite_01,7.8
34,I_Basalt_02,I_Peridotite_11,8.25
35,I_Basalt_02,I_Pumice_06,6.25
36,I_Basalt_02,I_Rhyolite_11,7.25
37,I_Basalt_02,M_Amphibolite_07,7.8
38,I_Basalt_02,M_Anthracite_12,7.8
39,I_Basalt_02,M_Gneiss_07,7.8
40,I_Basalt_02,M_Hornfels_08,7.25
41,I_Basalt_02,M_Marble_04,7.8
42,I_Basalt_02,M_Migmatite_08,7.45
43,I_Basalt_02,M_Phyllite_09,7.8
44,I_Basalt_02,M_Quartzite_09,7.8
45,I_Basalt_02,M_Schist_02,7.25
46,I_Basalt_02,M_Slate_09,7.45
47,I_Basalt_02,S_Bituminous Coal_10,7.35
48,I_Basalt_02,S_Breccia_11,7.8
49,I_Basalt_02,S_Chert_03,6.7
50,I_Basalt_02,S_Conglomerate_08,6.75
51,I_Basalt_02,S_Dolomite_12,7.8
52,I_Basalt_02,S_Micrite_09,7.5
53,I_Basalt_02,S_Rock Gypsum_02,7.6
54,I_Basalt_02,S_Rock Salt_12,7.32
55,I_Basalt_02,S_Sandstone_12,7.8
56,I_Basalt_02,S_Shale_04,8.25
57,I_Diorite_10,I_Gabbro_03,7.32
58,I_Diorite_10,I_Granite_11,7.25
59,I_Diorite_10,I_Obsidian_09,6.25
60,I_Diorite_10,I_Pegmatite_01,7.75
61,I_Diorite_10,I_Peridotite_11,7.25
62,I_Diorite_10,I_Pumice_06,7.25
63,I_Diorite_10,I_Rhyolite_11,6.25
64,I_Diorite_10,M_Amphibolite_07,7.75
65,I_Diorite_10,M_Anthracite_12,7.8
66,I_Diorite_10,M_Gneiss_07,7.25
67,I_Diorite_10,M_Hornfels_08,7.25
68,I_Diorite_10,M_Marble_04,7.33
69,I_Diorite_10,M_Migmatite_08,7.6
70,I_Diorite_10,M_Phyllite_09,7.8
71,I_Diorite_10,M_Quartzite_09,7.25
72,I_Diorite_10,M_Schist_02,7.3
73,I_Diorite_10,M_Slate_09,7.33
74,I_Diorite_10,S_Bituminous Coal_10,7.8
75,I_Diorite_10,S_Breccia_11,7.8
76,I_Diorite_10,S_Chert_03,7.25
77,I_Diorite_10,S_Conglomerate_08,7.25
78,I_Diorite_10,S_Dolomite_12,7.76
79,I_Diorite_10,S_Micrite_09,7.75
80,I_Diorite_10,S_Rock Gypsum_02,7.25
81,I_Diorite_10,S_Rock Salt_12,7.25
82,I_Diorite_10,S_Sandstone_12,7.25
83,I_Diorite_10,S_Shale_04,6.25
84,I_Gabbro_03,I_Granite_11,7.8
85,I_Gabbro_03,I_Obsidian_09,7.25
86,I_Gabbro_03,I_Pegmatite_01,7.8
87,I_Gabbro_03,I_Peridotite_11,8.25
88,I_Gabbro_03,I_Pumice_06,6.8
89,I_Gabbro_03,I_Rhyolite_11,8.25
90,I_Gabbro_03,M_Amphibolite_07,8.25
