index,Rock1,Rock2,Model Rating
0,I_Andesite_06,I_Basalt_02,6.0
1,I_Andesite_06,I_Diorite_10,6.0
2,I_Andesite_06,I_Gabbro_03,6.0
3,I_Andesite_06,I_Granite_11,6.0
4,I_Andesite_06,I_Obsidian_09,6.0
5,I_Andesite_06,I_Pegmatite_01,4.0
6,I_Andesite_06,I_Peridotite_11,7.0
7,I_Andesite_06,I_Pumice_06,7.0
8,I_Andesite_06,I_Rhyolite_11,6.0
9,I_Andesite_06,M_Amphibolite_07,7.0
10,I_Andesite_06,M_Anthracite_12,6.0
11,I_Andesite_06,M_Gneiss_07,6.0
12,I_Andesite_06,M_Hornfels_08,6.0
13,I_Andesite_06,M_Marble_04,6.0
14,I_Andesite_06,M_Migmatite_08,6.0
15,I_Andesite_06,M_Phyllite_09,6.0
16,I_Andesite_06,M_Quartzite_09,7.0
17,I_Andesite_06,M_Schist_02,6.0
18,I_Andesite_06,M_Slate_09,5.0
19,I_Andesite_06,S_Bituminous Coal_10,6.0
20,I_Andesite_06,S_Breccia_11,6.0
21,I_Andesite_06,S_Chert_03,3.0
22,I_Andesite_06,S_Conglomerate_08,4.0
23,I_Andesite_06,S_Dolomite_12,6.0
24,I_Andesite_06,S_Micrite_09,5.0
25,I_Andesite_06,S_Rock Gypsum_02,6.0
26,I_Andesite_06,S_Rock Salt_12,6.0
27,I_Andesite_06,S_Sandstone_12,5.0
28,I_Andesite_06,S_Shale_04,5.0
29,I_Basalt_02,I_Diorite_10,6.0
30,I_Basalt_02,I_Gabbro_03,6.0
31,I_Basalt_02,I_Granite_11,7.0
32,I_Basalt_02,I_Obsidian_09,6.0
33,I_Basalt_02,I_Pegmatite_01,6.0
34,I_Basalt_02,I_Peridotite_11,6.0
35,I_Basalt_02,I_Pumice_06,5.0
36,I_Basalt_02,I_Rhyolite_11,6.0
37,I_Basalt_02,M_Amphibolite_07,6.0
38,I_Basalt_02,M_Anthracite_12,6.0
39,I_Basalt_02,M_Gneiss_07,5.0
