index,Rock1,Rock2,Model Rating
0,I_Andesite_06,I_Basalt_02,4.8
1,I_Andesite_06,I_Diorite_10,4.25
2,I_Andesite_06,I_Gabbro_03,4.75
3,I_Andesite_06,I_Granite_11,4.8
4,I_Andesite_06,I_Obsidian_09,7.25
5,I_Andesite_06,I_Pegmatite_01,5.33
6,I_Andesite_06,I_Peridotite_11,6.25
7,I_Andesite_06,I_Pumice_06,6.25
8,I_Andesite_06,I_Rhyolite_11,5.5
9,I_Andesite_06,M_Amphibolite_07,4.25
10,I_Andesite_06,M_Anthracite_12,4.25
11,I_Andesite_06,M_Gneiss_07,4.8
12,I_Andesite_06,M_Hornfels_08,4.8
13,I_Andesite_06,M_Marble_04,7.33
14,I_Andesite_06,M_Migmatite_08,4.8
15,I_Andesite_06,M_Phyllite_09,8.5
16,I_Andesite_06,M_Quartzite_09,7.8
17,I_Andesite_06,M_Schist_02,4.8
18,I_Andesite_06,M_Slate_09,4.8
19,I_Andesite_06,S_Bituminous Coal_10,5.33
20,I_Andesite_06,S_Breccia_11,4.25
21,I_Andesite_06,S_Chert_03,4.8
22,I_Andesite_06,S_Conglomerate_08,4.8
23,I_Andesite_06,S_Dolomite_12,4.25
24,I_Andesite_06,S_Micrite_09,7.8
25,I_Andesite_06,S_Rock Gypsum_02,4.25
26,I_Andesite_06,S_Rock Salt_12,4.8
27,I_Andesite_06,S_Sandstone_12,7.8
28,I_Andesite_06,S_Shale_04,4.8
29,I_Basalt_02,I_Diorite_10,6.25
30,I_Basalt_02,I_Gabbro_03,4.8
31,I_Basalt_02,I_Granite_11,7.8
32,I_Basalt_02,I_Obsidian_09,6.25
33,I_Basalt_02,I_Pegmatite_01,5.25
34,I_Basalt_02,I_Peridotite_11,6.25
35,I_Basalt_02,I_Pumice_06,6.25
36,I_Basalt_02,I_Rhyolite_11,6.8
37,I_Basalt_02,M_Amphibolite_07,6.25
38,I_Basalt_02,M_Anthracite_12,4.5
39,I_Basalt_02,M_Gneiss_07,4.25
40,I_Basalt_02,M_Hornfels_08,6.25
41,I_Basalt_02,M_Marble_04,7.4
42,I_Basalt_02,M_Migmatite_08,7.4
43,I_Basalt_02,M_Phyllite_09,8.5
44,I_Basalt_02,M_Quartzite_09,4.5
45,I_Basalt_02,M_Schist_02,6.25
46,I_Basalt_02,M_Slate_09,6.8
47,I_Basalt_02,S_Bituminous Coal_10,6.25
48,I_Basalt_02,S_Breccia_11,5.33
49,I_Basalt_02,S_Chert_03,7.8
50,I_Basalt_02,S_Conglomerate_08,7.33
51,I_Basalt_02,S_Dolomite_12,4.5
52,I_Basalt_02,S_Micrite_09,7.8
53,I_Basalt_02,S_Rock Gypsum_02,5.25
54,I_Basalt_02,S_Rock Salt_12,4.75
55,I_Basalt_02,S_Sandstone_12,4.25
56,I_Basalt_02,S_Shale_04,7.8
57,I_Diorite_10,I_Gabbro_03,4.75
58,I_Diorite_10,I_Granite_11,4.8
59,I_Diorite_10,I_Obsidian_09,4.67
60,I_Diorite_10,I_Pegmatite_01,6.25
61,I_Diorite_10,I_Peridotite_11,4.67
62,I_Diorite_10,I_Pumice_06,5.5
63,I_Diorite_10,I_Rhyolite_11,4.8
64,I_Diorite_10,M_Amphibolite_07,4.25
65,I_Diorite_10,M_Anthracite_12,4.25
66,I_Diorite_10,M_Gneiss_07,4.25
67,I_Diorite_10,M_Hornfels_08,5.33
68,I_Diorite_10,M_Marble_04,6.25
69,I_Diorite_10,M_Migmatite_08,4.8
70,I_Diorite_10,M_Phyllite_09,4.8
71,I_Diorite_10,M_Quartzite_09,4.8
72,I_Diorite_10,M_Schist_02,5.33
73,I_Diorite_10,M_Slate_09,4.8
74,I_Diorite_10,S_Bituminous Coal_10,4.25
