index,Rock1,Rock2,Model Rating
0,I_Andesite_06,I_Basalt_02,6.0
1,I_Andesite_06,I_Diorite_10,5.0
2,I_Andesite_06,I_Gabbro_03,6.0
3,I_Andesite_06,I_Granite_11,5.0
4,I_Andesite_06,I_Obsidian_09,5.0
5,I_Andesite_06,I_Pegmatite_01,5.0
6,I_Andesite_06,I_Peridotite_11,5.0
7,I_Andesite_06,I_Pumice_06,5.0
8,I_Andesite_06,I_Rhyolite_11,5.0
9,I_Andesite_06,M_Amphibolite_07,5.0
10,I_Andesite_06,M_Anthracite_12,6.0
11,I_Andesite_06,M_Gneiss_07,5.0
12,I_Andesite_06,M_Hornfels_08,5.0
13,I_Andesite_06,M_Marble_04,5.0
14,I_Andesite_06,M_Migmatite_08,5.0
15,I_Andesite_06,M_Phyllite_09,6.0
16,I_Andesite_06,M_Quartzite_09,5.0
17,I_Andesite_06,M_Schist_02,5.0
18,I_Andesite_06,M_Slate_09,5.0
19,I_Andesite_06,S_Bituminous Coal_10,5.0
20,I_Andesite_06,S_Breccia_11,5.0
21,I_Andesite_06,S_Chert_03,5.0
22,I_Andesite_06,S_Conglomerate_08,5.0
23,I_Andesite_06,S_Dolomite_12,5.0
24,I_Andesite_06,S_Micrite_09,5.0
25,I_Andesite_06,S_Rock Gypsum_02,5.0
26,I_Andesite_06,S_Rock Salt_12,6.0
27,I_Andesite_06,S_Sandstone_12,5.0
28,I_Andesite_06,S_Shale_04,5.0
29,I_Basalt_02,I_Diorite_10,5.0
30,I_Basalt_02,I_Gabbro_03,5.0
31,I_Basalt_02,I_Granite_11,5.0
32,I_Basalt_02,I_Obsidian_09,4.0
33,I_Basalt_02,I_Pegmatite_01,5.0
34,I_Basalt_02,I_Peridotite_11,5.0
35,I_Basalt_02,I_Pumice_06,4.0
36,I_Basalt_02,I_Rhyolite_11,5.0
37,I_Basalt_02,M_Amphibolite_07,5.0
38,I_Basalt_02,M_Anthracite_12,5.0
39,I_Basalt_02,M_Gneiss_07,5.0
40,I_Basalt_02,M_Hornfels_08,5.0
41,I_Basalt_02,M_Marble_04,5.0
42,I_Basalt_02,M_Migmatite_08,5.0
43,I_Basalt_02,M_Phyllite_09,6.0
44,I_Basalt_02,M_Quartzite_09,5.0
45,I_Basalt_02,M_Schist_02,5.0
46,I_Basalt_02,M_Slate_09,5.0
47,I_Basalt_02,S_Bituminous Coal_10,4.0
48,I_Basalt_02,S_Breccia_11,5.0
49,I_Basalt_02,S_Chert_03,4.0
50,I_Basalt_02,S_Conglomerate_08,5.0
51,I_Basalt_02,S_Dolomite_12,5.0
52,I_Basalt_02,S_Micrite_09,5.0
53,I_Basalt_02,S_Rock Gypsum_02,5.0
54,I_Basalt_02,S_Rock Salt_12,5.0
55,I_Basalt_02,S_Sandstone_12,4.0
56,I_Basalt_02,S_Shale_04,5.0
57,I_Diorite_10,I_Gabbro_03,5.0
58,I_Diorite_10,I_Granite_11,5.0
59,I_Diorite_10,I_Obsidian_09,5.0
60,I_Diorite_10,I_Pegmatite_01,5.0
61,I_Diorite_10,I_Peridotite_11,5.0
62,I_Diorite_10,I_Pumice_06,5.0
63,I_Diorite_10,I_Rhyolite_11,5.0
64,I_Diorite_10,M_Amphibolite_07,5.0
65,I_Diorite_10,M_Anthracite_12,5.0
66,I_Diorite_10,M_Gneiss_07,5.0
67,I_Diorite_10,M_Hornfels_08,5.0
68,I_Diorite_10,M_Marble_04,5.0
69,I_Diorite_10,M_Migmatite_08,5.0
70,I_Diorite_10,M_Phyllite_09,5.0
71,I_Diorite_10,M_Quartzite_09,5.0
72,I_Diorite_10,M_Schist_02,5.0
73,I_Diorite_10,M_Slate_09,5.0
74,I_Diorite_10,S_Bituminous Coal_10,4.0
75,I_Diorite_10,S_Breccia_11,5.0
76,I_Diorite_10,S_Chert_03,5.0
77,I_Diorite_10,S_Conglomerate_08,5.0
78,I_Diorite_10,S_Dolomite_12,5.0
79,I_Diorite_10,S_Micrite_09,5.0
80,I_Diorite_10,S_Rock Gypsum_02,5.0
81,I_Diorite_10,S_Rock Salt_12,5.0
82,I_Diorite_10,S_Sandstone_12,5.0
83,I_Diorite_10,S_Shale_04,5.0
84,I_Gabbro_03,I_Granite_11,5.0
85,I_Gabbro_03,I_Obsidian_09,5.0
86,I_Gabbro_03,I_Pegmatite_01,6.0
87,I_Gabbro_03,I_Peridotite_11,5.0
88,I_Gabbro_03,I_Pumice_06,5.0
89,I_Gabbro_03,I_Rhyolite_11,5.0
90,I_Gabbro_03,M_Amphibolite_07,5.0
91,I_Gabbro_03,M_Anthracite_12,5.0
92,I_Gabbro_03,M_Gneiss_07,5.0
93,I_Gabbro_03,M_Hornfels_08,5.0
94,I_Gabbro_03,M_Marble_04,5.0
95,I_Gabbro_03,M_Migmatite_08,5.0
96,I_Gabbro_03,M_Phyllite_09,5.0
97,I_Gabbro_03,M_Quartzite_09,5.0
98,I_Gabbro_03,M_Schist_02,5.0
99,I_Gabbro_03,M_Slate_09,5.0
100,I_Gabbro_03,S_Bituminous Coal_10,5.0
101,I_Gabbro_03,S_Breccia_11,6.0
102,I_Gabbro_03,S_Chert_03,5.0
103,I_Gabbro_03,S_Conglomerate_08,5.0
104,I_Gabbro_03,S_Dolomite_12,5.0
105,I_Gabbro_03,S_Micrite_09,5.0
106,I_Gabbro_03,S_Rock Gypsum_02,5.0
107,I_Gabbro_03,S_Rock Salt_12,5.0
108,I_Gabbro_03,S_Sandstone_12,5.0
109,I_Gabbro_03,S_Shale_04,5.0
110,I_Granite_11,I_Obsidian_09,6.0
111,I_Granite_11,I_Pegmatite_01,5.0
112,I_Granite_11,I_Peridotite_11,5.0
113,I_Granite_11,I_Pumice_06,5.0
114,I_Granite_11,I_Rhyolite_11,5.0
115,I_Granite_11,M_Amphibolite_07,5.0
116,I_Granite_11,M_Anthracite_12,6.0
117,I_Granite_11,M_Gneiss_07,5.0
118,I_Granite_11,M_Hornfels_08,5.0
119,I_Granite_11,M_Marble_04,5.0
120,I_Granite_11,M_Migmatite_08,5.0
121,I_Granite_11,M_Phyllite_09,5.0
122,I_Granite_11,M_Quartzite_09,5.0
123,I_Granite_11,M_Schist_02,6.0
124,I_Granite_11,M_Slate_09,5.0
125,I_Granite_11,S_Bituminous Coal_10,5.0
126,I_Granite_11,S_Breccia_11,5.0
127,I_Granite_11,S_Chert_03,4.0
128,I_Granite_11,S_Conglomerate_08,5.0
129,I_Granite_11,S_Dolomite_12,5.0
130,I_Granite_11,S_Micrite_09,4.0
131,I_Granite_11,S_Rock Gypsum_02,5.0
132,I_Granite_11,S_Rock Salt_12,5.0
133,I_Granite_11,S_Sandstone_12,5.0
134,I_Granite_11,S_Shale_04,6.0
135,I_Obsidian_09,I_Pegmatite_01,5.0
136,I_Obsidian_09,I_Peridotite_11,5.0
137,I_Obsidian_09,I_Pumice_06,5.0
138,I_Obsidian_09,I_Rhyolite_11,5.0
139,I_Obsidian_09,M_Amphibolite_07,5.0
140,I_Obsidian_09,M_Anthracite_12,6.0
141,I_Obsidian_09,M_Gneiss_07,5.0
142,I_Obsidian_09,M_Hornfels_08,5.0
143,I_Obsidian_09,M_Marble_04,5.0
144,I_Obsidian_09,M_Migmatite_08,5.0
145,I_Obsidian_09,M_Phyllite_09,5.0
146,I_Obsidian_09,M_Quartzite_09,4.0
147,I_Obsidian_09,M_Schist_02,5.0
148,I_Obsidian_09,M_Slate_09,5.0
149,I_Obsidian_09,S_Bituminous Coal_10,6.0
150,I_Obsidian_09,S_Breccia_11,4.0
151,I_Obsidian_09,S_Chert_03,5.0
152,I_Obsidian_09,S_Conglomerate_08,5.0
153,I_Obsidian_09,S_Dolomite_12,6.0
154,I_Obsidian_09,S_Micrite_09,5.0
155,I_Obsidian_09,S_Rock Gypsum_02,6.0
156,I_Obsidian_09,S_Rock Salt_12,5.0
157,I_Obsidian_09,S_Sandstone_12,4.0
158,I_Obsidian_09,S_Shale_04,6.0
159,I_Pegmatite_01,I_Peridotite_11,5.0
160,I_Pegmatite_01,I_Pumice_06,5.0
161,I_Pegmatite_01,I_Rhyolite_11,5.0
