index,Rock1,Rock2,Rock1 Index,Rock2 Index,Human Rating,ChatGPT Rating
0,I_Andesite_06,I_Basalt_02,0,1,5.5294,1.0
1,I_Andesite_06,I_Diorite_10,0,2,6.7059,9.0
2,I_Andesite_06,I_Gabbro_03,0,3,6.8824,1.0
3,I_Andesite_06,I_Granite_11,0,4,5.6324,-1
4,I_Andesite_06,I_Obsidian_09,0,5,3.7206,-1
5,I_Andesite_06,I_Pegmatite_01,0,6,3.25,-1
6,I_Andesite_06,I_Peridotite_11,0,7,5.1765,-1
7,I_Andesite_06,I_Pumice_06,0,8,3.1912,-1
8,I_Andesite_06,I_Rhyolite_11,0,9,5.5441,8.0
9,I_Andesite_06,M_Amphibolite_07,0,10,7.4118,-1
10,I_Andesite_06,M_Anthracite_12,0,11,4.0735,4.0
11,I_Andesite_06,M_Gneiss_07,0,12,3.6912,-1
12,I_Andesite_06,M_Hornfels_08,0,13,5.6324,1.0
13,I_Andesite_06,M_Marble_04,0,14,4.4118,2.0
14,I_Andesite_06,M_Migmatite_08,0,15,5.25,-1
15,I_Andesite_06,M_Phyllite_09,0,16,4.2059,1.0
16,I_Andesite_06,M_Quartzite_09,0,17,6.4118,3.0
17,I_Andesite_06,M_Schist_02,0,18,6.7206,3.0
18,I_Andesite_06,M_Slate_09,0,19,4.5147,-1
19,I_Andesite_06,S_Bituminous Coal_10,0,20,4.0294,-1
20,I_Andesite_06,S_Breccia_11,0,21,4.2059,-1
21,I_Andesite_06,S_Chert_03,0,22,2.7941,-1
22,I_Andesite_06,S_Conglomerate_08,0,23,3.4118,6.0
23,I_Andesite_06,S_Dolomite_12,0,24,4.1912,1.0
24,I_Andesite_06,S_Micrite_09,0,25,2.8676,-1
25,I_Andesite_06,S_Rock Gypsum_02,0,26,3.3676,2.0
26,I_Andesite_06,S_Rock Salt_12,0,27,5.0,-1
27,I_Andesite_06,S_Sandstone_12,0,28,2.4118,1.0
28,I_Andesite_06,S_Shale_04,0,29,4.7206,-1
29,I_Basalt_02,I_Diorite_10,1,2,3.7353,1.0
30,I_Basalt_02,I_Gabbro_03,1,3,5.8382,-1
31,I_Basalt_02,I_Granite_11,1,4,2.9559,4.0
32,I_Basalt_02,I_Obsidian_09,1,5,5.3676,1.0
33,I_Basalt_02,I_Pegmatite_01,1,6,2.8382,-1
34,I_Basalt_02,I_Peridotite_11,1,7,3.9706,-1
35,I_Basalt_02,I_Pumice_06,1,8,3.1765,1.0
36,I_Basalt_02,I_Rhyolite_11,1,9,6.5441,9.0
37,I_Basalt_02,M_Amphibolite_07,1,10,5.5735,-1
38,I_Basalt_02,M_Anthracite_12,1,11,5.4706,-1
39,I_Basalt_02,M_Gneiss_07,1,12,4.5882,9.0
40,I_Basalt_02,M_Hornfels_08,1,13,7.0294,3.0
41,I_Basalt_02,M_Marble_04,1,14,4.9853,-1
42,I_Basalt_02,M_Migmatite_08,1,15,5.0294,-1
43,I_Basalt_02,M_Phyllite_09,1,16,5.0441,4.0
44,I_Basalt_02,M_Quartzite_09,1,17,5.9706,3.0
45,I_Basalt_02,M_Schist_02,1,18,5.0,-1
46,I_Basalt_02,M_Slate_09,1,19,5.4265,6.0
47,I_Basalt_02,S_Bituminous Coal_10,1,20,5.7353,1.0
48,I_Basalt_02,S_Breccia_11,1,21,2.6765,4.0
49,I_Basalt_02,S_Chert_03,1,22,3.1324,1.0
50,I_Basalt_02,S_Conglomerate_08,1,23,2.6029,-1
51,I_Basalt_02,S_Dolomite_12,1,24,5.75,-1
52,I_Basalt_02,S_Micrite_09,1,25,6.1618,4.0
53,I_Basalt_02,S_Rock Gypsum_02,1,26,4.6765,5.0
54,I_Basalt_02,S_Rock Salt_12,1,27,3.8824,-1
55,I_Basalt_02,S_Sandstone_12,1,28,3.2941,8.0
56,I_Basalt_02,S_Shale_04,1,29,6.7353,-1
57,I_Diorite_10,I_Gabbro_03,2,3,6.8382,1.0
58,I_Diorite_10,I_Granite_11,2,4,6.5735,8.0
59,I_Diorite_10,I_Obsidian_09,2,5,3.1176,1.0
60,I_Diorite_10,I_Pegmatite_01,2,6,4.4559,-1
61,I_Diorite_10,I_Peridotite_11,2,7,5.3529,1.0
62,I_Diorite_10,I_Pumice_06,2,8,3.8529,-1
63,I_Diorite_10,I_Rhyolite_11,2,9,3.5735,3.0
64,I_Diorite_10,M_Amphibolite_07,2,10,6.3382,4.0
65,I_Diorite_10,M_Anthracite_12,2,11,3.4265,2.0
66,I_Diorite_10,M_Gneiss_07,2,12,4.8529,-1
67,I_Diorite_10,M_Hornfels_08,2,13,4.1324,1.0
68,I_Diorite_10,M_Marble_04,2,14,3.3235,7.0
69,I_Diorite_10,M_Migmatite_08,2,15,5.7941,2.0
70,I_Diorite_10,M_Phyllite_09,2,16,5.6912,1.0
71,I_Diorite_10,M_Quartzite_09,2,17,4.9559,2.0
72,I_Diorite_10,M_Schist_02,2,18,5.8676,-1
73,I_Diorite_10,M_Slate_09,2,19,3.1765,-1
