index,Rock1,Rock2,Model Rating
0,I_Andesite_06,I_Basalt_02,4.5
1,I_Andesite_06,I_Diorite_10,4.5
2,I_Andesite_06,I_Gabbro_03,4.5
3,I_Andesite_06,I_Granite_11,4.5
4,I_Andesite_06,I_Obsidian_09,4.5
5,I_Andesite_06,I_Pegmatite_01,4.5
6,I_Andesite_06,I_Peridotite_11,4.5
7,I_Andesite_06,I_Pumice_06,4.5
8,I_Andesite_06,I_Rhyolite_11,4.5
9,I_Andesite_06,M_Amphibolite_07,4.5
10,I_Andesite_06,M_Anthracite_12,4.0
11,I_Andesite_06,M_Gneiss_07,4.5
12,I_Andesite_06,M_Hornfels_08,4.5
13,I_Andesite_06,M_Marble_04,4.5
14,I_Andesite_06,M_Migmatite_08,4.5
15,I_Andesite_06,M_Phyllite_09,4.5
16,I_Andesite_06,M_Quartzite_09,4.5
17,I_Andesite_06,M_Schist_02,4.5
18,I_Andesite_06,M_Slate_09,4.5
19,I_Andesite_06,S_Bituminous Coal_10,4.5
20,I_Andesite_06,S_Breccia_11,4.5
21,I_Andesite_06,S_Chert_03,4.5
22,I_Andesite_06,S_Conglomerate_08,4.5
23,I_Andesite_06,S_Dolomite_12,4.5
24,I_Andesite_06,S_Micrite_09,4.5
25,I_Andesite_06,S_Rock Gypsum_02,4.0
26,I_Andesite_06,S_Rock Salt_12,4.5
27,I_Andesite_06,S_Sandstone_12,4.5
28,I_Andesite_06,S_Shale_04,4.5
29,I_Basalt_02,I_Diorite_10,4.5
30,I_Basalt_02,I_Gabbro_03,4.5
31,I_Basalt_02,I_Granite_11,4.5
32,I_Basalt_02,I_Obsidian_09,4.5
33,I_Basalt_02,I_Pegmatite_01,4.5
34,I_Basalt_02,I_Peridotite_11,4.0
35,I_Basalt_02,I_Pumice_06,4.0
36,I_Basalt_02,I_Rhyolite_11,4.0
37,I_Basalt_02,M_Amphibolite_07,4.5
38,I_Basalt_02,M_Anthracite_12,4.0
39,I_Basalt_02,M_Gneiss_07,4.0
40,I_Basalt_02,M_Hornfels_08,4.5
41,I_Basalt_02,M_Marble_04,4.0
42,I_Basalt_02,M_Migmatite_08,4.5
43,I_Basalt_02,M_Phyllite_09,4.0
44,I_Basalt_02,M_Quartzite_09,4.0
45,I_Basalt_02,M_Schist_02,4.0
46,I_Basalt_02,M_Slate_09,4.5
47,I_Basalt_02,S_Bituminous Coal_10,4.5
48,I_Basalt_02,S_Breccia_11,4.5
49,I_Basalt_02,S_Chert_03,4.5
50,I_Basalt_02,S_Conglomerate_08,4.5
51,I_Basalt_02,S_Dolomite_12,4.0
52,I_Basalt_02,S_Micrite_09,4.5
53,I_Basalt_02,S_Rock Gypsum_02,4.0
54,I_Basalt_02,S_Rock Salt_12,4.5
55,I_Basalt_02,S_Sandstone_12,4.5
56,I_Basalt_02,S_Shale_04,4.0
57,I_Diorite_10,I_Gabbro_03,4.5
58,I_Diorite_10,I_Granite_11,4.5
59,I_Diorite_10,I_Obsidian_09,4.5
60,I_Diorite_10,I_Pegmatite_01,4.5
61,I_Diorite_10,I_Peridotite_11,4.5
62,I_Diorite_10,I_Pumice_06,4.5
63,I_Diorite_10,I_Rhyolite_11,4.5
64,I_Diorite_10,M_Amphibolite_07,4.5
65,I_Diorite_10,M_Anthracite_12,4.0
66,I_Diorite_10,M_Gneiss_07,4.5
67,I_Diorite_10,M_Hornfels_08,4.5
68,I_Diorite_10,M_Marble_04,4.5
69,I_Diorite_10,M_Migmatite_08,4.5
70,I_Diorite_10,M_Phyllite_09,4.5
71,I_Diorite_10,M_Quartzite_09,4.5
72,I_Diorite_10,M_Schist_02,4.5
73,I_Diorite_10,M_Slate_09,4.5
74,I_Diorite_10,S_Bituminous Coal_10,4.5
75,I_Diorite_10,S_Breccia_11,4.5
76,I_Diorite_10,S_Chert_03,4.5
77,I_Diorite_10,S_Conglomerate_08,4.5
78,I_Diorite_10,S_Dolomite_12,4.5
79,I_Diorite_10,S_Micrite_09,4.5
80,I_Diorite_10,S_Rock Gypsum_02,4.0
81,I_Diorite_10,S_Rock Salt_12,4.5
82,I_Diorite_10,S_Sandstone_12,4.5
83,I_Diorite_10,S_Shale_04,4.5
84,I_Gabbro_03,I_Granite_11,4.5
85,I_Gabbro_03,I_Obsidian_09,4.5
86,I_Gabbro_03,I_Pegmatite_01,4.5
87,I_Gabbro_03,I_Peridotite_11,4.5
88,I_Gabbro_03,I_Pumice_06,4.5
89,I_Gabbro_03,I_Rhyolite_11,4.0
90,I_Gabbro_03,M_Amphibolite_07,4.5
91,I_Gabbro_03,M_Anthracite_12,4.0
92,I_Gabbro_03,M_Gneiss_07,4.5
93,I_Gabbro_03,M_Hornfels_08,4.5
94,I_Gabbro_03,M_Marble_04,4.5
95,I_Gabbro_03,M_Migmatite_08,4.5
96,I_Gabbro_03,M_Phyllite_09,4.5
97,I_Gabbro_03,M_Quartzite_09,4.5
98,I_Gabbro_03,M_Schist_02,4.5
99,I_Gabbro_03,M_Slate_09,4.5
100,I_Gabbro_03,S_Bituminous Coal_10,4.5
101,I_Gabbro_03,S_Breccia_11,4.5
102,I_Gabbro_03,S_Chert_03,4.5
103,I_Gabbro_03,S_Conglomerate_08,4.5
104,I_Gabbro_03,S_Dolomite_12,4.5
105,I_Gabbro_03,S_Micrite_09,4.5
106,I_Gabbro_03,S_Rock Gypsum_02,4.0
