index,Rock1,Rock2,Model Rating
0,I_Andesite_06,I_Basalt_02,2.5
1,I_Andesite_06,I_Diorite_10,8.5
2,I_Andesite_06,I_Gabbro_03,8.5
3,I_Andesite_06,I_Granite_11,8.5
4,I_Andesite_06,I_Obsidian_09,1.0
5,I_Andesite_06,I_Pegmatite_01,2.5
6,I_Andesite_06,I_Peridotite_11,2.5
7,I_Andesite_06,I_Pumice_06,1.0
8,I_Andesite_06,I_Rhyolite_11,5.5
9,I_Andesite_06,M_Amphibolite_07,8.5
10,I_Andesite_06,M_Anthracite_12,1.0
11,I_Andesite_06,M_Gneiss_07,2.5
12,I_Andesite_06,M_Hornfels_08,5.5
13,I_Andesite_06,M_Marble_04,1.0
14,I_Andesite_06,M_Migmatite_08,5.5
15,I_Andesite_06,M_Phyllite_09,1.0
16,I_Andesite_06,M_Quartzite_09,5.5
17,I_Andesite_06,M_Schist_02,5.5
18,I_Andesite_06,M_Slate_09,2.5
19,I_Andesite_06,S_Bituminous Coal_10,1.0
20,I_Andesite_06,S_Breccia_11,2.5
21,I_Andesite_06,S_Chert_03,2.5
22,I_Andesite_06,S_Conglomerate_08,2.5
23,I_Andesite_06,S_Dolomite_12,2.5
24,I_Andesite_06,S_Micrite_09,2.5
25,I_Andesite_06,S_Rock Gypsum_02,1.0
26,I_Andesite_06,S_Rock Salt_12,2.5
27,I_Andesite_06,S_Sandstone_12,1.0
28,I_Andesite_06,S_Shale_04,2.5
29,I_Basalt_02,I_Diorite_10,2.5
30,I_Basalt_02,I_Gabbro_03,5.5
31,I_Basalt_02,I_Granite_11,2.5
32,I_Basalt_02,I_Obsidian_09,2.5
33,I_Basalt_02,I_Pegmatite_01,1.0
34,I_Basalt_02,I_Peridotite_11,1.0
35,I_Basalt_02,I_Pumice_06,1.0
36,I_Basalt_02,I_Rhyolite_11,5.5
37,I_Basalt_02,M_Amphibolite_07,5.5
38,I_Basalt_02,M_Anthracite_12,5.5
39,I_Basalt_02,M_Gneiss_07,1.0
40,I_Basalt_02,M_Hornfels_08,8.5
41,I_Basalt_02,M_Marble_04,1.0
42,I_Basalt_02,M_Migmatite_08,5.5
43,I_Basalt_02,M_Phyllite_09,1.0
44,I_Basalt_02,M_Quartzite_09,2.5
45,I_Basalt_02,M_Schist_02,5.5
46,I_Basalt_02,M_Slate_09,5.25
47,I_Basalt_02,S_Bituminous Coal_10,8.5
48,I_Basalt_02,S_Breccia_11,2.5
49,I_Basalt_02,S_Chert_03,2.5
50,I_Basalt_02,S_Conglomerate_08,1.0
51,I_Basalt_02,S_Dolomite_12,1.0
52,I_Basalt_02,S_Micrite_09,2.5
53,I_Basalt_02,S_Rock Gypsum_02,1.0
54,I_Basalt_02,S_Rock Salt_12,1.0
55,I_Basalt_02,S_Sandstone_12,1.0
56,I_Basalt_02,S_Shale_04,8.5
57,I_Diorite_10,I_Gabbro_03,8.5
58,I_Diorite_10,I_Granite_11,8.5
59,I_Diorite_10,I_Obsidian_09,1.0
60,I_Diorite_10,I_Pegmatite_01,2.5
61,I_Diorite_10,I_Peridotite_11,5.5
62,I_Diorite_10,I_Pumice_06,1.0
63,I_Diorite_10,I_Rhyolite_11,5.5
64,I_Diorite_10,M_Amphibolite_07,8.5
65,I_Diorite_10,M_Anthracite_12,1.0
66,I_Diorite_10,M_Gneiss_07,2.5
67,I_Diorite_10,M_Hornfels_08,2.5
68,I_Diorite_10,M_Marble_04,2.5
69,I_Diorite_10,M_Migmatite_08,5.5
70,I_Diorite_10,M_Phyllite_09,1.0
71,I_Diorite_10,M_Quartzite_09,5.5
72,I_Diorite_10,M_Schist_02,5.5
73,I_Diorite_10,M_Slate_09,2.5
74,I_Diorite_10,S_Bituminous Coal_10,1.0
75,I_Diorite_10,S_Breccia_11,2.5
76,I_Diorite_10,S_Chert_03,2.5
77,I_Diorite_10,S_Conglomerate_08,2.5
78,I_Diorite_10,S_Dolomite_12,5.5
79,I_Diorite_10,S_Micrite_09,2.5
80,I_Diorite_10,S_Rock Gypsum_02,1.0
81,I_Diorite_10,S_Rock Salt_12,5.5
82,I_Diorite_10,S_Sandstone_12,1.0
83,I_Diorite_10,S_Shale_04,1.0
84,I_Gabbro_03,I_Granite_11,5.25
85,I_Gabbro_03,I_Obsidian_09,1.0
86,I_Gabbro_03,I_Pegmatite_01,1.0
87,I_Gabbro_03,I_Peridotite_11,2.5
88,I_Gabbro_03,I_Pumice_06,1.0
89,I_Gabbro_03,I_Rhyolite_11,5.25
90,I_Gabbro_03,M_Amphibolite_07,8.5
91,I_Gabbro_03,M_Anthracite_12,1.0
92,I_Gabbro_03,M_Gneiss_07,2.5
93,I_Gabbro_03,M_Hornfels_08,5.25
94,I_Gabbro_03,M_Marble_04,1.0
95,I_Gabbro_03,M_Migmatite_08,5.25
96,I_Gabbro_03,M_Phyllite_09,1.0
97,I_Gabbro_03,M_Quartzite_09,5.25
98,I_Gabbro_03,M_Schist_02,5.25
99,I_Gabbro_03,M_Slate_09,2.5
100,I_Gabbro_03,S_Bituminous Coal_10,1.0
101,I_Gabbro_03,S_Breccia_11,2.5
102,I_Gabbro_03,S_Chert_03,2.5
103,I_Gabbro_03,S_Conglomerate_08,1.0
104,I_Gabbro_03,S_Dolomite_12,2.5
105,I_Gabbro_03,S_Micrite_09,2.5
106,I_Gabbro_03,S_Rock Gypsum_02,1.0
107,I_Gabbro_03,S_Rock Salt_12,1.0
108,I_Gabbro_03,S_Sandstone_12,1.0
109,I_Gabbro_03,S_Shale_04,2.5
110,I_Granite_11,I_Obsidian_09,1.0
111,I_Granite_11,I_Pegmatite_01,2.5
112,I_Granite_11,I_Peridotite_11,2.5
113,I_Granite_11,I_Pumice_06,1.0
114,I_Granite_11,I_Rhyolite_11,2.5
115,I_Granite_11,M_Amphibolite_07,5.5
116,I_Granite_11,M_Anthracite_12,1.0
117,I_Granite_11,M_Gneiss_07,2.5
118,I_Granite_11,M_Hornfels_08,1.0
119,I_Granite_11,M_Marble_04,5.5
120,I_Granite_11,M_Migmatite_08,5.5
121,I_Granite_11,M_Phyllite_09,1.0
122,I_Granite_11,M_Quartzite_09,5.25
123,I_Granite_11,M_Schist_02,5.25
124,I_Granite_11,M_Slate_09,2.5
125,I_Granite_11,S_Bituminous Coal_10,1.0
126,I_Granite_11,S_Breccia_11,2.5
127,I_Granite_11,S_Chert_03,2.5
128,I_Granite_11,S_Conglomerate_08,2.5
129,I_Granite_11,S_Dolomite_12,2.5
130,I_Granite_11,S_Micrite_09,2.5
131,I_Granite_11,S_Rock Gypsum_02,2.5
132,I_Granite_11,S_Rock Salt_12,5.5
